"filename", "language", "TypeScript", "MS SQL", "TypeScript JSX", "JSON", "JavaScript", "PostCSS", "comment", "blank", "total"
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260615144423_add_private_group_request/migration.sql", "MS SQL", 0, 19, 0, 0, 0, 0, 7, 8, 34
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260615150945_add_claim_expires/migration.sql", "MS SQL", 0, 1, 0, 0, 0, 0, 1, 1, 3
"/Users/zerone/Documents/Coding/projectProp/apps/backend/prisma/migrations/20260703174950_add_workspace_last_active/migration.sql", "MS SQL", 0, 1, 0, 0, 0, 0, 1, 1, 3
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/app.module.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/auth/auth.controller.ts", "TypeScript", 3, 0, 0, 0, 0, 0, -29, -5, -31
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/auth/auth.service.ts", "TypeScript", 82, 0, 0, 0, 0, 0, -4, 9, 87
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/auth/dto/auth.dto.ts", "TypeScript", 2, 0, 0, 0, 0, 0, -1, -1, 0
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/middleware/activity.middleware.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 2, 30
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/admin/admin-users.service.ts", "TypeScript", -18, 0, 0, 0, 0, 0, -1, -3, -22
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/billing/billing.controller.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 5, 5, 57
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/billing/billing.guard.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 6, 16, 84
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/billing/billing.module.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/billing/billing.service.ts", "TypeScript", 199, 0, 0, 0, 0, 0, 15, 36, 250
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/billing/skip-billing.decorator.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 1, 0, 3
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/clients/clients.controller.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/clients/clients.module.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/collections/collections.controller.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 13, 76
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/collections/collections.module.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/collections/collections.service.ts", "TypeScript", 99, 0, 0, 0, 0, 0, 1, 10, 110
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/ingestion/db-auth-state.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 6, 53
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/ingestion/ingestion.service.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 4, 9, 83
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/listings/listings.controller.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/listings/listings.service.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 1, 7, 43
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/listings/update-listing.dto.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/media/media.service.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 4, 3, 27
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/onboarding/onboarding.controller.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/onboarding/onboarding.service.ts", "TypeScript", -6, 0, 0, 0, 0, 0, -1, -1, -8
