"filename", "language", "JavaScript", "JSON", "TypeScript", "XML", "TypeScript JSX", "JSON with Comments", "PostCSS", "Markdown", "MS SQL", "Docker", "comment", "blank", "total"
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/deals/StartDealModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 158, 0, 0, 0, 0, 0, 13, 15, 186
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/layout/AppShell.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 6, 38
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/layout/PageContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 9, 4, 32
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/layout/PageHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/layout/Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 24, 19, 210
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/layout/SidebarItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 1, 6, 50
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/layout/UserProfileCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 7, 11, 96
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/messages/ManualMessageModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 177, 0, 0, 0, 0, 0, 12, 18, 207
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/navigation/BackButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/property/DeletePropertyButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 3, 10, 105
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/property/MediaGallery.tsx", "TypeScript JSX", 0, 0, 0, 0, 502, 0, 0, 0, 0, 0, 36, 53, 591
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/property/PasteMessageButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 4, 34
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/property/PropertyActivityTimeline.tsx", "TypeScript JSX", 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 8, 19, 179
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/property/PropertyAgentsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 19, 22, 201
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/property/PropertyDetails.tsx", "TypeScript JSX", 0, 0, 0, 0, 273, 0, 0, 0, 0, 0, 19, 31, 323
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/property/PropertyHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 19, 14, 159
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/property/PropertyLeadsDropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 2, 5, 70
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/property/PropertyLeadsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 1, 3, 53
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/property/PropertyOverview.tsx", "TypeScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 7, 44
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/property/PropertyStatusSelect.tsx", "TypeScript JSX", 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 13, 25, 239
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/property/ShareMultiplePropertiesModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 407, 0, 0, 0, 0, 0, 309, 77, 793
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/property/SharePropertyModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 13, 19, 121
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/property/WhatsAppMessageCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 182, 76, 307
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/tables/DataTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 6, 62
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/types/client-lead.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/types/lead.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/ui/AccordionSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 2, 5, 41
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/ui/Badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/ui/ControlledEditableField.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/ui/ControlledEditableSelectField.tsx", "TypeScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 2, 36
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/ui/EditableField.tsx", "TypeScript JSX", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 1, 9, 80
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/ui/EditableSelectField.tsx", "TypeScript JSX", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 1, 10, 92
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/ui/Input.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/ui/Select.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/components/v2/utils/leadStage.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/context/AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 32, 26, 188
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/lib/api.ts", "TypeScript", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 15, 14, 93
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/lib/apiBase.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/lib/prisma.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/lib/queryClient.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/lib/serverApi.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 21, 12, 88
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/lib/serverFetch.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 2, 21
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/lib/unwrap.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/lib/utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/proxy.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 7, 8, 49
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/src/utils/buildWhatsAppMessage.ts", "TypeScript", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 238, 88, 450
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/tailwind.config.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 71
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 35
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/types/next-pwa.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 121, 213, 9776, 5, 18158, 51, 94, 92, 841, 12, 5425, 4941, 39729
